                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5965,                 2.1812,                 1.1434,                0.52229,                0.25277,                0.23965,                0.13042,                 1.4391,                 1.3409,                 1.0784,             0.00025523,             0.00025523,             0.00025523
                      2,                 1.4691,                 1.3925,                 1.1089,                0.46462,                0.27921,                0.27179,                0.15036,                 1.4039,                 1.2533,                 1.0907,              0.0005065,              0.0005065,              0.0005065
                      3,                 1.4054,                 1.2421,                 1.0894,                0.38561,                0.26737,                0.25443,                0.14006,                 1.4255,                 1.2968,                 1.1009,             0.00075269,             0.00075269,             0.00075269
                      4,                   1.36,                 1.1387,                 1.0733,                0.43454,                0.27938,                0.25098,                0.14048,                 1.3597,                 1.1886,                 1.0934,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.3387,                 1.0781,                 1.0716,                0.43447,                  0.301,                0.26067,                0.14253,                 1.3595,                 1.1909,                   1.09,             0.00073855,             0.00073855,             0.00073855
                      6,                 1.3114,                 1.0312,                 1.0628,                0.31799,                0.30185,                0.27533,                0.15662,                 1.3592,                 1.1422,                 1.0945,             0.00073093,             0.00073093,             0.00073093
                      7,                 1.2828,                 0.9785,                 1.0496,                0.32658,                0.32461,                 0.2898,                0.15946,                 1.3647,                 1.1413,                 1.1037,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.2645,                0.95389,                 1.0458,                0.49424,                0.30074,                0.30002,                0.17243,                 1.3084,                 1.0937,                 1.0719,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.2363,                0.91811,                 1.0313,                0.34187,                0.32277,                0.29943,                0.17036,                 1.2906,                 1.0609,                 1.0711,              0.0007081,              0.0007081,              0.0007081
                     10,                 1.2273,                 0.8974,                  1.028,                0.31334,                0.31913,                0.28542,                0.15706,                 1.3254,                 1.0745,                 1.0892,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.2078,                0.87617,                 1.0251,                0.30468,                 0.2966,                0.26528,                0.15365,                 1.2874,                 1.0783,                 1.0842,             0.00069287,             0.00069287,             0.00069287
                     12,                 1.2042,                0.87018,                 1.0239,                0.35495,                0.30145,                 0.2906,                0.16566,                 1.3044,                 1.0771,                 1.0837,             0.00068526,             0.00068526,             0.00068526
                     13,                 1.1953,                0.85257,                 1.0182,                0.36455,                 0.3128,                0.29153,                0.16588,                 1.2961,                 1.0609,                 1.0841,             0.00067764,             0.00067764,             0.00067764
                     14,                 1.1843,                0.84513,                 1.0157,                0.31974,                0.33778,                  0.285,                0.16235,                 1.2986,                 1.0727,                 1.0755,             0.00067003,             0.00067003,             0.00067003
                     15,                 1.1685,                0.82965,                 1.0086,                0.35094,                0.32997,                0.29315,                0.17059,                 1.2936,                 1.0468,                 1.0807,             0.00066242,             0.00066242,             0.00066242
                     16,                 1.1665,                0.81924,                 1.0078,                0.33059,                0.30815,                0.27947,                0.16168,                 1.2989,                 1.0485,                 1.0776,              0.0006548,              0.0006548,              0.0006548
                     17,                 1.1557,                0.81222,                 1.0063,                0.33656,                0.28767,                 0.2683,                0.15545,                 1.2936,                 1.0622,                 1.0891,             0.00064719,             0.00064719,             0.00064719
                     18,                 1.1431,                0.80196,                 1.0001,                0.32841,                0.28864,                0.27933,                0.16174,                 1.2941,                 1.0537,                 1.0875,             0.00063958,             0.00063958,             0.00063958
